rank,word,score,non_overlapping_word,non_overlapping_score
1,soare,90.64511220996577,linty,61.39368581209585
2,sared,88.85393685812096,noily,66.99429440852035
3,saner,88.61658425256752,moity,66.7029288702929
4,porae,88.55534423735261,silty,64.55077976416888
5,roate,88.05249144161279,shily,58.88702928870293
6,sater,87.73183720045645,noily,66.99429440852035
7,morae,87.5895777862305,silty,64.55077976416888
8,saine,87.3351084062381,porty,69.17268923545075
9,pareo,87.30581970330924,silty,64.55077976416888
10,oared,87.09205020920503,silty,64.55077976416888
11,raile,87.0532521871434,ponty,65.68581209585393
12,raine,87.00304298212248,souly,66.66451122099657
13,tared,86.40966146823888,soily,71.3952073031571
14,salet,86.30353746671739,porny,68.961962723469
15,oater,85.9699505515405,shily,58.88702928870293
16,paire,85.91936097375428,sonly,69.41232407759605
17,taler,85.78889311525296,noisy,65.46253328261696
18,caret,85.57322175732217,soily,71.3952073031571
19,raise,85.52149106124001,ponty,65.68581209585393
20,saned,85.36705971852416,roily,71.06314187904147
21,naieo,85.28794218333967,surly,64.31152529478888
22,parte,85.16279954355268,soily,71.3952073031571
23,raned,85.03499429440853,soily,71.3952073031571
24,parle,85.00228223659185,moity,66.7029288702929
25,pared,84.96690756941803,soily,71.3952073031571
26,maire,84.95359452263219,sonly,69.41232407759605
27,paren,84.95207303157093,soily,71.3952073031571
28,tarse,84.91327500950932,noily,66.99429440852035
29,samey,84.55800684670977,porin,68.00646633701027
30,sated,84.4823126664131,roily,71.06314187904147
31,carte,84.44922023583112,soily,71.3952073031571
32,paler,84.3461392164321,moity,66.7029288702929
33,carle,84.2887029288703,moity,66.7029288702929
34,cared,84.25332826169647,soily,71.3952073031571
35,carne,84.23849372384937,soily,71.3952073031571
36,later,84.19132750095093,noisy,65.46253328261696
37,potae,84.18372004564473,surly,64.31152529478888
38,rated,84.15024724229745,soily,71.3952073031571
39,marle,84.03651578546976,ponty,65.68581209585393
40,caner,84.01597565614303,soily,71.3952073031571
41,ratel,83.98022061620388,noisy,65.46253328261696
42,sayer,83.88664891593763,point,65.12400152149105
43,pater,83.84480791175352,soily,71.3952073031571
44,coate,83.78394826930392,surly,64.31152529478888
45,sored,83.68276911373147,laity,73.18638265500189
46,aired,83.66869532141499,sonly,69.41232407759605
47,sarge,83.66831494864967,noily,66.99429440852035
48,saice,83.58082921262837,porty,69.17268923545075
49,tiare,83.56219094712819,sonly,69.41232407759605
50,ranse,83.53860783567897,moity,66.7029288702929
51,sorel,83.5127424876379,panty,70.85697984024344
52,parse,83.47052111068847,noily,66.99429440852035
53,porey,83.44960060859643,saint,74.1821985545835
54,seria,83.44465576264739,ponty,65.68581209585393
55,taser,83.38988208444276,noily,66.99429440852035
56,canoe,83.28794218333968,silty,64.55077976416888
57,matey,83.28337771015595,solid,68.038037276531
58,ramie,83.27044503613541,sonly,69.41232407759605
59,manie,83.2126283758083,porty,69.17268923545075
60,cater,83.13122860403195,soily,71.3952073031571
61,bared,83.0988969189806,soily,71.3952073031571
62,soler,83.06200076074553,panty,70.85697984024344
63,mater,82.87904146063141,soily,71.3952073031571
64,dater,82.87219475085584,soily,71.3952073031571
65,sacre,82.8254089007227,noily,66.99429440852035
66,saute,82.81513883605935,roily,71.06314187904147
67,carse,82.7569418029669,noily,66.99429440852035
68,corey,82.73602130087485,saint,74.1821985545835
69,sager,82.71548117154812,noily,66.99429440852035
70,oaten,82.70559147965005,surly,64.31152529478888
71,maile,82.532521871434,porty,69.17268923545075
72,marse,82.50475465956637,noily,66.99429440852035
73,todea,82.49220235831115,surly,64.31152529478888
74,baler,82.47812856599467,moity,66.7029288702929
75,daine,82.4754659566375,porty,69.17268923545075
76,maleo,82.46976036515785,dirty,63.56143020159756
77,saber,82.43552681627996,noily,66.99429440852035
78,palet,82.41650817801445,corny,68.24838341574744
79,laser,82.29364777481932,moity,66.7029288702929
80,rased,82.25256751616584,noily,66.99429440852035
81,norie,81.98022061620388,salty,74.36059338151388
82,paise,81.96652719665272,corny,68.24838341574744
83,ramet,81.89197413465196,soily,71.3952073031571
84,manet,81.83415747432484,soily,71.3952073031571
85,laned,81.82655001901864,porty,69.17268923545075
86,roake,81.7112970711297,silty,64.55077976416888
87,tamer,81.70939520730316,soily,71.3952073031571
88,hared,81.66451122099659,soily,71.3952073031571
89,sabre,81.6424496006086,noily,66.99429440852035
90,strae,81.63255990871053,noily,66.99429440852035
91,baile,81.63027767211867,porty,69.17268923545075
92,tinea,81.62152909851655,souly,66.66451122099657
93,haole,81.5481171548117,dirty,63.56143020159756
94,salue,81.54203119056676,porty,69.17268923545075
95,saker,81.48193229364777,noily,66.99429440852035
96,stoae,81.48079117535185,nirly,63.8596424496006
97,paned,81.48003042982123,soily,71.3952073031571
98,toney,81.40547736782047,parid,73.19246861924685
99,early,81.36744009128945,point,65.12400152149105
100,arose,81.32217573221757,linty,61.39368581209585
101,panel,81.31000380372765,dorty,68.20007607455307
102,lader,81.30810193990109,moity,66.7029288702929
103,taper,81.30581970330925,soily,71.3952073031571
104,ariel,81.2963103841765,ponty,65.68581209585393
105,orate,81.28565994674781,shily,58.88702928870293
106,rance,81.2658805629517,soily,71.3952073031571
107,faire,81.2362114872575,sonly,69.41232407759605
108,caser,81.23354887790035,noily,66.99429440852035
109,serai,81.23088626854316,ponty,65.68581209585393
110,targe,81.22403955876759,soily,71.3952073031571
111,paled,81.09661468238875,corny,68.24838341574744
112,haler,81.04374286801065,moity,66.7029288702929
113,paseo,81.03651578546976,nirly,63.8596424496006
114,toner,81.00114111829593,daily,71.70673259794599
115,maise,81.00076074553063,porty,69.17268923545075
116,hoaed,80.99923925446939,silty,64.55077976416888
