Rank,Word,Score,Top 5 Words
1,slate,3.75255531446205,"crony, corny, irony, briny, drony"
2,saner,3.7000472036165446,"doilt, doily, moity, toidy, ploit"
3,stare,3.667693180425302,"doily, noily, bliny, piony, colin"
4,crate,3.639306782175993,"soily, sonly, souly, shily, shiny"
5,crane,3.629219263630584,"soily, souly, shily, sluit, silty"
6,raise,3.6266482324079545,"count, clout, boult, poult, ponty"
7,arose,3.619036442807636,"clint, bliny, glint, flint, built"
8,arise,3.615024069369646,"count, clout, boult, poult, ponty"
9,snare,3.61127214691636,"doilt, doily, moity, toidy, ploit"
10,share,3.611168515267006,"doilt, point, doily, clint, noily"
11,stale,3.6020303333236474,"crony, corny, irony, briny, drony"
12,trace,3.594059736928073,"soily, sonly, souly, shily, shiny"
13,saute,3.585191825634088,"roily, crony, corny, drily, irony"
14,shale,3.545505668165351,"crony, corny, print, droit, rioty"
15,irate,3.524591498561823,"sonly, souly, slopy, songy, sound"
16,scare,3.496434379304484,"doilt, point, doily, noily, moity"
17,sauce,3.4847300318064214,"roily, triol, print, drily, droit"
18,spare,3.47743483071459,"doilt, doily, clint, noily, moity"
19,store,3.4732461014015503,"daily, naily, gaily, haily, bialy"
20,teary,3.470006057438166,"sloid, solid, coils, slink, sound"
21,grate,3.4606935776183256,"soily, sonly, souly, shily, shiny"
22,slice,3.4536340681726405,"roany, boart, orant, brant, praty"
23,trade,3.441222026352192,"soily, sonly, souly, shily, shiny"
24,cater,3.437173819570696,"soily, sonly, souly, shily, shiny"
25,crone,3.434772184606832,"slaty, sault, salty, saith, shalt"
26,scale,3.430771532202829,"print, droit, rioty, irony, briny"
27,blare,3.4289639596381623,"suint, stony, souct, shiny, point"
28,brace,3.418615520581279,"soily, sonly, souly, suint, stony"
29,suite,3.4174472792628907,"roany, coaly, clary, goary, hoary"
30,snore,3.4168250678926078,"laity, daily, gaily, haily, plait"
31,shore,3.416721436243254,"laity, paint, daily, naily, daint"
32,shire,3.412709062805264,"coaly, boaty, goaty, moany, toady"
33,later,3.409373270299308,"shiny, noisy, spiny, songy, sound"
34,alone,3.408682024030202,"shirt, grist, spirt, frist, grisy"
35,saint,3.407693834205431,"corey, prole, drole, porey, roule"
36,stole,3.407583254299895,"rainy, dairy, carny, cairn, fairy"
37,trice,3.3956002844663318,"soapy, shaly, sloan, sonly, souly"
38,parse,3.3799893414895514,"doilt, doily, clint, noily, moity"
39,safer,3.3775278190179314,"doilt, point, doily, clint, noily"
40,stone,3.370686045844241,"lairy, clary, clair, dairy, fairy"
41,glare,3.370580222847542,"suint, stony, souct, shiny, point"
42,grace,3.360231783790659,"soily, sonly, souly, suint, stony"
43,flare,3.358409682347962,"suint, stony, souct, shiny, point"
44,siren,3.3578395230860703,"coaly, boaty, goaty, toady, coady"
45,prose,3.341393418692051,"laity, daily, naily, daint, gaily"
46,plate,3.335573597483777,"crony, brosy, corny, irony, briny"
47,least,3.3329962092834937,"crony, corny, irony, briny, drony"
48,slant,3.332774096673063,"corey, poire, goier, moire, porey"
49,plane,3.3254860789383685,"roist, crost, story, short, shirt"
50,alter,3.320290360782642,"shiny, noisy, spiny, songy, sound"
51,react,3.3199805523108123,"soily, sonly, souly, shily, shiny"
52,shone,3.3141613806859445,"trail, lairy, clart, trial, clary"
53,prone,3.313624891697301,"slaty, sault, salty, saith, shalt"
54,baler,3.312476286993,"suint, stony, souct, shiny, point"
55,paler,3.3115584618505145,"suint, stony, souct, shiny, noisy"
56,brine,3.3105303434017954,"slaty, sault, coast, salty, coaly"
57,shine,3.310149007247955,"coaly, boart, clart, clary, praty"
58,sober,3.307834317184631,"laity, paint, daily, naily, daint"
59,cause,3.3070384100146875,"roily, triol, print, drily, droit"
60,leant,3.305227682288744,"brosy, prosy, grisy, spiry, coirs"
61,score,3.3019873002807323,"laity, paint, daily, naily, daint"
62,slide,3.3007963575967594,"roany, boart, orant, brant, praty"
63,canoe,3.2979695085497367,"shirt, surly, shily, sluit, silty"
64,erase,3.2955366762381884,"doilt, point, doily, clint, noily"
65,stage,3.293942693772736,"roily, crony, corny, drily, irony"
66,poise,3.2894264284847257,"clart, clary, brant, drant, carny"
67,drone,3.289133404026056,"slaty, sault, salty, saith, shalt"
68,alien,3.28622652241638,"crost, story, short, souct, prost"
69,space,3.2845004998750222,"roily, triol, drily, droit, rioty"
70,spore,3.2829877516908383,"laity, daily, naily, daint, gaily"
71,close,3.279954819818897,"rainy, brant, riant, praty, train"
72,spire,3.278975378252849,"coaly, boaty, goaty, moany, toady"
73,roast,3.2766660706453585,"cline, cluey, chile, clied, liney"
74,tease,3.2757052063782077,"roily, crony, corny, drily, irony"
75,tried,3.2724105639081893,"coaly, soapy, shaly, sloan, saucy"
76,early,3.2683235239702406,"suint, souct, point, moist, foist"
77,shade,3.265396473851557,"roily, crony, triol, corny, print"
78,slope,3.2649504390011206,"rainy, brant, riant, train, drant"
79,slime,3.2641686494409887,"roany, boart, orant, brant, praty"
80,caste,3.2563000177026,"roily, drily, irony, briny, drony"
81,noise,3.255240254876389,"clart, clary, praty, blart, trady"
82,clone,3.252186292824147,"saury, stary, shart, stair, saith"
83,solar,3.2510568239667177,"thine, chine, deity, cutey, citee"
84,taper,3.24629914689484,"soily, sonly, souly, shily, shiny"
85,rouse,3.245617091066866,"laity, paint, daily, naily, daint"
86,plier,3.2443616301682754,"coast, saunt, boast, shoat, saucy"
87,crave,3.241647186439595,"soily, sonly, souly, suint, stony"
88,beast,3.240567290787836,"roily, crony, corny, drily, irony"
89,chase,3.2405425626357047,"roily, triol, print, drily, droit"
90,skate,3.238104410816087,"roily, crony, corny, drily, irony"
91,hater,3.2365819520939003,"soily, sonly, souly, sloid, doily"
92,place,3.235111803656109,"roist, story, snort, short, snirt"
93,heart,3.2349964196406464,"soily, sonly, souly, sloid, doily"
94,atone,3.231347352981554,"surly, shily, drily, grisy, spiry"
95,tamer,3.229798458724555,"soily, sonly, souly, shily, shiny"
96,shame,3.2287687656957864,"roily, crony, triol, corny, print"
97,route,3.227936082617525,"slain, shaly, slaid, sadly, scaly"
98,shape,3.225538181817928,"roily, crony, triol, corny, drily"
99,dealt,3.224286659435011,"crony, brosy, prosy, corny, irony"
100,sower,3.2242536513628464,"laity, paint, daily, naily, daint"
101,salve,3.2236330979461494,"crony, corny, print, droit, rioty"
102,sonar,3.2225638487544748,"tuile, blite, cluey, flite, chile"
103,alert,3.222251131662359,"shiny, noisy, spiny, songy, sound"
104,urine,3.2215346007143157,"slaty, coast, salty, coaly, loast"
105,cease,3.22049045779846,"roily, triol, print, drily, droit"
106,price,3.2192382429770525,"slant, slaty, sault, salty, loast"
107,stake,3.2183185947376227,"roily, crony, corny, drily, irony"
108,suave,3.218247135988235,"roily, crony, triol, corny, print"
109,cried,3.217195815328442,"slant, slaty, sault, salty, loast"
110,borne,3.214390724656526,"slaty, sault, salty, saith, shalt"
111,shear,3.21346369581471,"doilt, point, doily, clint, noily"
112,grade,3.207394073214778,"soily, sonly, souly, suint, stony"
113,trope,3.206916655294811,"slain, shaly, saucy, slaid, sadly"
114,learn,3.2049933579999443,"souct, moist, foist, hoist, tousy"
115,pearl,3.203746925736967,"suint, stony, souct, shiny, noisy"
116,sleet,3.203074719881591,"roany, rainy, goary, hoary, dairy"
117,tripe,3.2029042818568216,"coaly, shaly, sloan, saucy, sonly"
118,drape,3.200510205158039,"soily, sonly, souly, suint, stony"
119,scone,3.199427244723423,"trail, lairy, trial, liart, praty"
120,since,3.199418044431465,"boart, praty, goary, hoary, boaty"
121,coast,3.1993394746124206,"brine, plier, urine, flier, riley"
122,stair,3.1985934271275687,"clone, coley, coney, poley, doley"
123,matey,3.197578275496057,"shorl, sloid, roils, coirs, broil"
124,cadet,3.197459353351213,"soily, roily, sonly, souly, surly"
125,loser,3.196999038596691,"paint, daint, faint, haint, canty"
126,lease,3.192689908527071,"crony, corny, print, droit, rioty"
127,farce,3.192210087064828,"soily, sonly, souly, suint, stony"
128,caper,3.1910843983150925,"soily, sonly, souly, suint, stony"
129,salty,3.190802016179945,"crone, crine, poire, noire, goier"
130,spite,3.186502841240948,"roany, coaly, clary, goary, hoary"
131,pause,3.185891117105157,"roily, crony, triol, corny, drily"
132,swore,3.179477074740829,"laity, paint, daily, naily, daint"
133,stave,3.1775610476770044,"roily, crony, corny, drily, irony"
134,spine,3.176415322695539,"coaly, boart, clart, clary, goary"
135,flier,3.17472517802056,"coast, saunt, soapy, boast, shoat"
136,large,3.1743771270376864,"suint, stony, souct, shiny, point"
137,trail,3.1742164939775903,"sonce, souce, shone, coney, sonde"
138,crest,3.173549763676429,"daily, naily, moany, gaily, haily"
139,wrote,3.172190317684051,"slain, shaly, saucy, slaid, sadly"
140,feast,3.1700130134976368,"roily, crony, corny, drily, irony"
141,lance,3.1687029513025067,"roist, story, short, shirt, prost"
142,rainy,3.168389027910604,"stole, souce, shote, socle, close"
143,write,3.168177944246061,"coaly, soapy, shaly, sloan, saucy"
144,grape,3.167535781181149,"soily, sonly, souly, suint, stony"
145,water,3.164504434102507,"soily, sonly, souly, shily, shiny"
146,soapy,3.163538115535621,"trine, crine, trice, brine, cruet"
147,mealy,3.16331364796252,"roist, crost, snort, short, snirt"
148,brake,3.1621752657331674,"soily, sonly, souly, suint, stony"
149,cruel,3.1621337680078456,"saint, soapy, saith, boast, shoat"
150,snake,3.16189756122868,"roily, triol, drily, droit, rioty"
151,horse,3.161796851941526,"laity, paint, daily, naily, daint"
152,shake,3.1617939295793267,"roily, crony, triol, corny, print"
153,frame,3.158595824559427,"soily, sonly, souly, suint, stony"
154,smile,3.1566386804578386,"roany, boart, orant, brant, praty"
155,craze,3.15484060058356,"soily, sonly, souly, suint, stony"
156,forte,3.153923965911735,"slain, shaly, saucy, slaid, sadly"
157,truce,3.153317058106002,"soily, soapy, slain, shaly, sloan"
158,lager,3.152892477745174,"suint, stony, souct, shiny, point"
159,false,3.1523555330059,"crony, corny, print, droit, rioty"
160,clear,3.151488607952912,"suint, stony, shiny, point, noisy"
161,crime,3.1509201171549317,"slant, slaty, sault, salty, loast"
162,spiel,3.1500725058948715,"roany, boart, orant, brant, goary"
163,layer,3.148946604722812,"suint, souct, point, moist, foist"
164,meant,3.1472134177658893,"soily, roily, souly, surly, shily"
165,skier,3.146892443500586,"coaly, boaty, goaty, moany, toady"
166,aisle,3.146685558607728,"crony, corny, drony, front, crout"
167,ready,3.1463458634759074,"suint, souct, sluit, sloth, point"
168,weary,3.1421219233902296,"suint, souct, sluit, sloth, doilt"
169,louse,3.140489945762539,"rainy, brant, riant, praty, train"
170,relay,3.14022554959298,"suint, souct, point, moist, foist"
171,slain,3.140149966308735,"corey, rouet, porey, cruet, trode"
172,panel,3.1393876661459554,"roist, crost, story, short, shirt"
173,drake,3.136765952919437,"soily, sonly, souly, suint, stony"
174,meaty,3.136503958052274,"shorl, sloid, roils, coirs, broil"
