rank,word,score,non_overlapping_word,non_overlapping_score
1,tares,104.7676876472568,noily,62.341837765062266
2,lares,103.86725008414673,moity,62.83621676203299
3,pares,103.37367889599462,moity,62.83621676203299
4,ranes,103.03547627061594,moity,62.83621676203299
5,rales,103.01501178054527,moity,62.83621676203299
6,nares,102.66388421406933,moity,62.83621676203299
7,mares,102.60922248401211,noily,62.341837765062266
8,cares,102.36930326489396,moity,62.83621676203299
9,dares,102.34183776506227,moity,62.83621676203299
10,rates,101.91612251767081,noily,62.341837765062266
11,bares,101.7542914843487,moity,62.83621676203299
12,tales,101.46832716257151,porin,64.62659037361158
13,lanes,100.58835408953213,porty,64.95940760686638
14,gares,100.49814877145742,moity,62.83621676203299
15,hares,100.12332547963648,moity,62.83621676203299
16,panes,100.09478290138,roily,65.99232581622348
17,pales,100.07431841130932,dorty,63.92756647593403
18,tores,100.07377987209692,naily,67.03574554022214
19,manes,99.3303264893975,roily,65.99232581622348
20,males,99.30986199932681,porty,64.95940760686638
21,lores,99.17334230898686,paint,66.74789633120162
22,fares,99.1644564119825,moity,62.83621676203299
23,canes,99.09040727027936,roily,65.99232581622348
24,dales,99.04247728037697,porty,64.95940760686638
25,pates,98.97542914843486,roily,65.99232581622348
26,rames,98.85291147761696,noily,62.341837765062266
27,pores,98.67977112083473,laity,68.7881521373275
28,banes,98.47539548973408,roily,65.99232581622348
29,bales,98.4549309996634,porty,64.95940760686638
30,rones,98.34156849545606,laity,68.7881521373275
31,roles,98.32110400538538,paint,66.74789633120162
32,toeas,98.29067653988555,nirly,58.83837091888253
33,rapes,98.27236620666442,moity,62.83621676203299
34,nates,98.26563446650958,roily,65.99232581622348
35,mates,98.21097273645236,roily,65.99232581622348
36,wares,98.09518680578928,moity,62.83621676203299
37,races,98.07983843823628,moity,62.83621676203299
38,cates,97.97105351733423,roily,65.99232581622348
39,dates,97.9435880175025,roily,65.99232581622348
40,aures,97.93362504207336,moity,62.83621676203299
41,mores,97.91531470885222,laity,68.7881521373275
42,kaies,97.89619656681252,porty,64.95940760686638
43,cores,97.67539548973409,laity,68.7881521373275
44,dores,97.64792998990238,laity,68.7881521373275
45,bates,97.35604173678895,roily,65.99232581622348
46,aeros,97.33315382026252,linty,57.31188152137328
47,tames,97.30622685964322,roily,65.99232581622348
48,rotes,97.22221474251093,naily,67.03574554022214
49,gales,97.19878828677213,porty,64.95940760686638
50,rages,97.19824974755973,moity,62.83621676203299
51,aloes,97.10750589027262,dirty,59.0653651969034
52,bores,97.06038370918881,laity,68.7881521373275
53,vares,96.8748569505217,moity,62.83621676203299
54,hales,96.82396499495118,porty,64.95940760686638
55,tones,96.79488387748232,lairy,69.75725345001683
56,toles,96.77441938741164,rainy,70.18162234937732
57,tapes,96.72568158869068,roily,65.99232581622348
58,rakes,96.59320094244362,moity,62.83621676203299
59,arles,96.59293167283742,moity,62.83621676203299
60,lades,96.55442611915178,porty,64.95940760686638
61,teras,96.54015483002355,noily,62.341837765062266
62,taces,96.53315382026253,roily,65.99232581622348
63,reais,96.44537192864355,ponty,61.68051161225176
64,lames,96.40578929653314,porty,64.95940760686638
65,yales,96.27034668461796,porin,64.62659037361158
66,gates,96.09989902389766,roily,65.99232581622348
67,kanes,95.9760350050488,roily,65.99232581622348
68,earls,95.96284079434533,moity,62.83621676203299
69,kales,95.9555705149781,porty,64.95940760686638
70,fanes,95.88556041736788,roily,65.99232581622348
71,fales,95.8650959272972,porty,64.95940760686638
72,roues,95.82874453046112,laity,68.7881521373275
73,gores,95.80424099629754,laity,68.7881521373275
74,hates,95.72507573207673,roily,65.99232581622348
75,laces,95.63271625715247,porty,64.95940760686638
76,laers,95.47411645910466,moity,62.83621676203299
