Rank,Word,Score,In Answerlist
1,soare,13066.5,No
2,roate,12936.0,No
3,porae,12700.0,No
4,morae,12611.5,No
5,tiare,12400.0,No
6,arose,12397.5,Yes
7,aired,12363.0,No
8,orate,12345.5,No
9,ariel,12336.0,No
10,seria,12320.5,No
11,oater,12301.5,No
12,norie,12297.0,No
13,raile,12254.0,No
14,sorel,12239.0,No
15,oared,12222.0,No
16,raine,12217.0,No
17,soler,12198.5,No
18,pareo,12149.5,No
19,noire,12143.5,No
20,arise,12135.0,Yes
21,saner,12133.5,Yes
22,realo,12122.0,No
23,naieo,12106.0,No
24,sater,12089.0,No
25,serai,12088.0,No
26,potae,12085.5,No
27,toner,12083.5,No
28,sored,12076.5,No
29,todea,12067.0,No
30,coate,12060.0,No
31,alone,12044.5,Yes
32,aurei,12035.0,No
33,raise,12035.0,Yes
34,stoae,12022.5,No
35,irate,12022.0,Yes
36,taler,12014.5,No
37,aider,12011.0,Yes
38,sared,12009.5,No
39,retia,12004.5,No
40,ronte,12000.5,No
41,rione,11997.0,No
42,strae,11994.5,No
43,tinea,11993.5,No
44,loner,11986.5,No
45,aiery,11983.5,No
46,terai,11971.0,No
47,artel,11956.0,No
48,alter,11952.5,Yes
49,poire,11952.5,No
50,adore,11949.0,Yes
51,roake,11941.5,No
52,seral,11923.5,No
53,torse,11921.0,No
54,saine,11918.5,No
55,toile,11905.5,No
56,aloed,11901.0,No
57,anole,11893.5,No
58,tared,11892.5,No
59,paire,11885.5,No
60,ayrie,11878.5,No
61,later,11875.0,Yes
62,porey,11875.0,No
63,atone,11864.5,Yes
64,moire,11864.0,No
65,alose,11862.5,No
66,oiler,11861.5,No
67,ratel,11856.0,No
68,aimer,11854.5,No
69,tarse,11854.0,No
70,stare,11847.0,Yes
71,arsey,11843.5,No
72,aeros,11841.0,No
73,snare,11839.0,Yes
74,arled,11836.0,No
75,noter,11833.0,No
76,solei,11831.5,No
77,liane,11822.0,No
78,aesir,11820.0,No
79,corey,11811.5,No
80,olate,11810.5,No
81,teary,11809.0,Yes
82,amore,11806.0,No
83,renay,11802.0,No
84,relay,11800.0,Yes
85,maire,11797.0,No
86,roset,11792.0,No
87,ailed,11791.0,No
88,alien,11782.0,Yes
89,aline,11782.0,No
90,rimae,11760.5,No
91,roted,11760.5,No
92,porte,11758.0,No
93,oaten,11751.0,No
94,ceria,11743.0,No
95,raned,11738.0,No
96,salet,11731.5,No
97,caret,11726.0,No
98,deair,11719.5,No
99,oriel,11712.5,No
100,leary,11712.0,No
101,rouet,11710.0,No
102,taser,11709.5,No
103,toney,11702.0,No
104,ranse,11699.5,No
105,antre,11695.0,No
106,doner,11693.5,No
107,rated,11693.5,No
108,parte,11691.0,No
109,toise,11686.5,No
110,poler,11684.5,No
111,ocrea,11684.0,No
112,loser,11679.5,Yes
113,parle,11676.0,No
114,siren,11670.5,Yes
115,tores,11670.0,No
116,togae,11668.5,No
117,aisle,11666.5,Yes
118,reoil,11656.0,No
119,goier,11652.5,No
120,renal,11652.0,Yes
121,doter,11649.0,No
122,ramie,11649.0,No
123,siler,11649.0,No
124,paren,11639.0,No
125,morel,11636.5,No
126,tenia,11633.5,No
127,irone,11632.5,No
128,telia,11631.5,No
129,anile,11631.0,No
130,ourie,11628.0,No
131,carte,11627.5,No
132,trone,11626.5,No
133,prate,11619.0,No
134,morne,11617.5,No
135,paler,11617.5,Yes
136,carle,11612.5,No
137,laser,11612.5,No
138,aloes,11611.5,No
139,route,11611.5,Yes
140,oread,11605.5,No
141,tares,11603.0,No
142,neral,11600.5,No
143,moner,11598.0,No
144,slate,11598.0,Yes
145,roule,11596.5,No
