Rank,Word,Score,Overall Frequency,Pos1 Freq,Pos2 Freq,Pos3 Freq,Pos4 Freq,Pos5 Freq
1,soare,3322.6,4523,365,279,306,150,422
2,roate,3250.8,4584,105,279,306,139,422
3,stare,3227.4,4499,365,77,306,150,422
4,sater,3223.4,4499,365,304,111,318,212
5,orate,3220.4,4584,41,267,306,139,422
6,arose,3211.0,4523,140,267,243,171,422
7,raile,3196.3999999999996,4488,105,304,266,162,422
8,tiare,3191.8,4501,149,201,306,150,422
9,tarse,3183.0,4499,149,304,163,171,422
10,strae,3175.0,4499,365,77,163,162,422
11,raise,3171.2,4440,105,304,266,171,422
12,arise,3170.4,4440,140,267,266,171,422
13,irate,3167.8,4501,34,267,306,139,422
14,taler,3166.2,4547,149,304,112,318,212
15,slate,3163.6,4318,365,200,306,139,422
16,ariel,3151.2,4488,140,267,266,318,155
17,oater,3144.8,4584,41,304,111,318,212
18,later,3141.0,4547,87,304,111,318,212
19,saner,3140.2,4343,365,304,137,318,212
20,snare,3137.7999999999997,4343,365,87,306,150,422
21,salet,3131.6,4318,365,304,112,318,253
22,reast,3129.8,4499,105,241,306,171,253
23,seral,3126.0,4486,365,241,163,162,155
24,ratel,3125.3999999999996,4547,105,304,111,318,155
25,taser,3124.6000000000004,4499,149,304,80,318,212
26,artel,3124.6,4547,140,267,111,318,155
27,stale,3123.6,4318,365,77,306,162,422
28,alter,3120.6,4547,140,200,111,318,212
29,stoae,3120.6,4355,365,77,243,162,422
30,raine,3118.6,4345,105,304,266,182,422
31,crate,3116.4,4306,198,267,306,139,422
32,trace,3101.2,4306,149,267,306,150,422
33,stear,3096.6000000000004,4499,365,77,177,162,212
34,alert,3096.2,4547,140,200,177,150,253
35,laser,3092.0,4486,87,304,80,318,212
36,realo,3091.4,4571,105,241,306,162,58
37,tares,3087.4,4499,149,304,163,318,36
38,slane,3087.2,4162,365,200,306,182,422
39,saine,3085.2,4116,365,304,266,182,422
40,olate,3085.0,4403,41,200,306,139,422
41,earst,3084.6000000000004,4499,72,304,163,171,253
42,caret,3078.0,4306,198,304,163,318,253
43,alose,3075.6,4342,140,200,243,171,422
44,carle,3075.3999999999996,4293,198,304,163,162,422
45,carte,3074.0,4306,198,304,163,139,422
46,soler,3072.8,4264,365,279,112,318,212
47,sorel,3070.4,4264,365,279,163,318,155
48,store,3069.0,4277,365,77,243,150,422
49,sacre,3065.8,4245,365,304,56,150,422
50,ranse,3061.3999999999996,4343,105,304,137,171,422
51,scare,3060.2,4245,365,40,306,150,422
52,seria,3060.0,4440,365,241,163,158,63
53,lares,3054.8,4486,87,304,163,318,36
54,slier,3053.0,4181,365,200,266,318,212
55,tears,3052.2000000000003,4499,149,241,306,150,36
56,carse,3050.2,4245,198,304,163,171,422
57,rates,3049.0,4499,105,304,111,318,36
58,share,3049.0,4157,365,144,306,150,422
59,stane,3045.8,4175,365,77,306,182,422
60,urate,3045.0,4297,33,267,306,139,422
61,rales,3041.6,4486,105,304,112,318,36
62,arles,3040.8,4486,140,267,112,318,36
