Rank,Word,Score,Pos1 Overall Freq,Pos1 Positional Freq,Pos2 Overall Freq,Pos2 Positional Freq,Pos3 Overall Freq,Pos3 Positional Freq,Pos4 Overall Freq,Pos4 Positional Freq,Pos5 Overall Freq,Pos5 Positional Freq
1,soare,3172.55,668,753,975,897,1230,365,279,306,150,422
2,roate,3084.15,897,753,975,729,1230,105,279,306,139,422
3,stare,3068.4500000000003,668,729,975,897,1230,365,77,306,150,422
4,sater,3063.9500000000003,668,975,729,1230,897,365,304,111,318,212
5,orate,3049.9500000000003,753,897,975,729,1230,41,267,306,139,422
6,arose,3047.0,975,897,753,668,1230,140,267,243,171,422
7,raile,3034.95,897,975,670,716,1230,105,304,266,162,422
8,tiare,3028.15,729,670,975,897,1230,149,201,306,150,422
9,slate,3019.3,668,716,975,729,1230,365,200,306,139,422
10,tarse,3018.5,729,975,897,668,1230,149,304,163,171,422
11,raise,3012.6,897,975,670,668,1230,105,304,266,171,422
12,arise,3011.7,975,897,670,668,1230,140,267,266,171,422
13,strae,3009.5,668,729,897,975,1230,365,77,163,162,422
14,irate,3001.15,670,897,975,729,1230,34,267,306,139,422
15,taler,2993.6000000000004,729,975,716,1230,897,149,304,112,318,212
16,saner,2989.85,668,975,573,1230,897,365,304,137,318,212
17,snare,2987.15,668,573,975,897,1230,365,87,306,150,422
18,ariel,2984.1,975,897,670,1230,716,140,267,266,318,155
19,salet,2983.3,668,975,716,1230,729,365,304,112,318,253
20,stale,2974.3,668,729,975,716,1230,365,77,306,162,422
21,crate,2967.7000000000003,475,897,975,729,1230,198,267,306,139,422
22,stoae,2966.3,668,729,753,975,1230,365,77,243,162,422
23,raine,2965.3,897,975,670,573,1230,105,304,266,182,422
24,later,2965.2500000000005,716,975,729,1230,897,87,304,111,318,212
25,oater,2964.9,753,975,729,1230,897,41,304,111,318,212
26,reast,2958.65,897,1230,975,668,729,105,241,306,171,253
27,saine,2956.3500000000004,668,975,670,573,1230,365,304,266,182,422
28,seral,2956.0,668,1230,897,975,716,365,241,163,162,155
29,slane,2952.8500000000004,668,716,975,573,1230,365,200,306,182,422
30,taser,2952.8,729,975,668,1230,897,149,304,80,318,212
31,trace,2950.6000000000004,729,897,975,475,1230,149,267,306,150,422
32,ratel,2947.7000000000003,897,975,729,1230,716,105,304,111,318,155
33,artel,2946.8,975,897,729,1230,716,140,267,111,318,155
34,alter,2942.3,975,716,729,1230,897,140,200,111,318,212
35,caret,2924.5,475,975,897,1230,729,198,304,163,318,253
36,soler,2923.9,668,753,716,1230,897,365,279,112,318,212
37,carle,2923.2,475,975,897,716,1230,198,304,163,162,422
38,stear,2921.3,668,729,1230,975,897,365,77,177,162,212
39,sorel,2921.2000000000003,668,753,897,1230,716,365,279,163,318,155
40,olate,2920.25,753,716,975,729,1230,41,200,306,139,422
41,carte,2920.0,475,975,897,729,1230,198,304,163,139,422
42,sacre,2918.4,668,975,475,897,1230,365,304,56,150,422
43,store,2918.0000000000005,668,729,753,897,1230,365,77,243,150,422
44,laser,2917.75,716,975,668,1230,897,87,304,80,318,212
45,alose,2917.3,975,716,753,668,1230,140,200,243,171,422
46,alert,2914.8500000000004,975,716,1230,897,729,140,200,177,150,253
47,scare,2912.1,668,475,975,897,1230,365,40,306,150,422
48,slier,2912.0,668,716,670,1230,897,365,200,266,318,212
49,tares,2910.9500000000003,729,975,897,1230,668,149,304,163,318,36
50,share,2910.5000000000005,668,387,975,897,1230,365,144,306,150,422
51,earst,2907.8,1230,975,897,668,729,72,304,163,171,253
52,realo,2906.4500000000003,897,1230,975,716,753,105,241,306,162,58
53,stane,2904.65,668,729,975,573,1230,365,77,306,182,422
54,crane,2901.25,475,897,975,573,1230,198,267,306,182,422
55,ranse,2901.2,897,975,573,668,1230,105,304,137,171,422
56,carse,2900.85,475,975,897,668,1230,198,304,163,171,422
57,coate,2893.9000000000005,475,753,975,729,1230,198,279,306,139,422
58,urate,2888.5000000000005,466,897,975,729,1230,33,267,306,139,422
59,saice,2888.05,668,975,670,475,1230,365,304,266,150,422
60,seria,2887.5,668,1230,897,670,975,365,241,163,158,63
61,torse,2885.1500000000005,729,753,897,668,1230,149,279,163,171,422
62,teary,2884.75,729,1230,975,897,424,149,241,306,150,364
63,stire,2882.7000000000003,668,729,670,897,1230,365,77,266,150,422
64,cater,2882.65,475,975,729,1230,897,198,304,111,318,212
65,prate,2881.55,365,897,975,729,1230,141,267,306,139,422
66,lares,2875.9,716,975,897,1230,668,87,304,163,318,36
67,tears,2871.3500000000004,729,1230,975,897,668,149,241,306,150,36
68,alone,2870.0000000000005,975,716,753,573,1230,140,200,243,182,422
69,urase,2869.3500000000004,466,897,975,668,1230,33,267,306,171,422
70,trade,2869.05,729,897,975,393,1230,149,267,306,69,422
71,trone,2868.4500000000003,729,897,753,573,1230,149,267,243,182,422
72,rates,2867.75,897,975,729,1230,668,105,304,111,318,36
73,serai,2865.9,668,1230,897,975,670,365,241,163,162,11
74,saute,2865.15,668,975,466,729,1230,365,304,165,139,422
75,prase,2862.4,365,897,975,668,1230,141,267,306,171,422
76,rales,2861.05,897,975,716,1230,668,105,304,112,318,36
77,spare,2861.05,668,365,975,897,1230,365,61,306,150,422
78,earnt,2860.5,1230,975,897,573,729,72,304,163,182,253
79,sared,2860.25,668,975,897,1230,393,365,304,163,318,118
80,arles,2860.15,975,897,716,1230,668,140,267,112,318,36
81,sayer,2859.3,668,975,424,1230,897,365,304,29,318,212
82,carne,2853.55,475,975,897,573,1230,198,304,163,182,422
83,scrae,2853.15,668,475,897,975,1230,365,40,163,162,422
84,resat,2852.9,897,1230,668,975,729,105,241,80,162,253
85,paire,2852.7000000000003,365,975,670,897,1230,141,304,266,150,422
86,least,2851.0,716,1230,975,668,729,87,241,306,171,253
87,reals,2849.8,897,1230,975,716,668,105,241,306,162,36
88,leary,2849.7000000000003,716,1230,975,897,424,87,241,306,150,364
89,porae,2846.15,365,753,897,975,1230,141,279,163,162,422
90,trape,2845.1000000000004,729,897,975,365,1230,149,267,306,50,422
91,siler,2843.15,668,670,716,1230,897,365,201,112,318,212
92,react,2843.05,897,1230,975,475,729,105,241,306,150,253
93,sarge,2842.5,668,975,897,310,1230,365,304,163,76,422
94,spaer,2842.15,668,365,975,1230,897,365,61,306,318,212
95,alure,2840.8500000000004,975,716,466,897,1230,140,200,165,150,422
96,setal,2840.2,668,1230,729,975,716,365,241,111,162,155
97,grate,2839.6000000000004,310,897,975,729,1230,115,267,306,139,422
98,parle,2837.05,365,975,897,716,1230,141,304,163,162,422
99,snore,2836.7000000000003,668,573,753,897,1230,365,87,243,150,422
100,lears,2836.3,716,1230,975,897,668,87,241,306,150,36
101,caser,2835.15,475,975,668,1230,897,198,304,80,318,212
102,aline,2834.7000000000003,975,716,670,573,1230,140,200,266,182,422
103,parte,2833.8500000000004,365,975,897,729,1230,141,304,163,139,422
104,trine,2833.15,729,897,670,573,1230,149,267,266,182,422
105,aster,2833.1000000000004,975,668,729,1230,897,140,16,111,318,212
106,arsey,2832.75,975,897,668,1230,424,140,267,80,318,364
107,antre,2831.7000000000003,975,573,729,897,1230,140,87,111,150,422
108,liane,2829.3,716,670,975,573,1230,87,201,306,182,422
109,toile,2829.0,729,753,670,716,1230,149,279,266,162,422
110,learn,2826.3500000000004,716,1230,975,897,573,87,241,306,150,130
111,stole,2823.8500000000004,668,729,753,716,1230,365,77,243,162,422
112,reais,2822.7,897,1230,975,670,668,105,241,306,158,36
113,atone,2821.8,975,729,753,573,1230,140,77,243,182,422
114,roset,2818.1000000000004,897,753,668,1230,729,105,279,80,318,253
115,scale,2817.9500000000003,668,475,975,716,1230,365,40,306,162,422
116,oriel,2817.4500000000003,753,897,670,1230,716,41,267,266,318,155
117,blare,2816.85,280,716,975,897,1230,173,200,306,150,422
118,shale,2816.3500000000004,668,387,975,716,1230,365,144,306,162,422
119,arets,2816.0,975,897,1230,729,668,140,267,177,139,36
120,aesir,2815.95,975,1230,668,670,897,140,241,80,158,212
121,parse,2814.7,365,975,897,668,1230,141,304,163,171,422
122,sager,2813.7,668,975,310,1230,897,365,304,67,318,212
123,teras,2812.4,729,1230,897,975,668,149,241,163,162,36
124,early,2812.3500000000004,1230,975,897,716,424,72,304,163,162,364
125,sabre,2811.15,668,975,280,897,1230,365,304,56,150,422
126,maire,2810.45,316,975,670,897,1230,107,304,266,150,422
127,anole,2810.1500000000005,975,573,753,716,1230,140,87,243,162,422
128,aloes,2809.7500000000005,975,716,753,1230,668,140,200,243,318,36
129,caner,2808.55,475,975,573,1230,897,198,304,137,318,212
130,salue,2808.5,668,975,716,466,1230,365,304,112,82,422
131,aeros,2808.05,975,1230,897,753,668,140,241,163,132,36
132,glare,2807.25,310,716,975,897,1230,115,200,306,150,422
133,toise,2806.65,729,753,670,668,1230,149,279,266,171,422
134,laers,2806.6000000000004,716,975,1230,897,668,87,304,177,150,36
135,frate,2804.05,229,897,975,729,1230,135,267,306,139,422
136,morae,2803.9,316,753,897,975,1230,107,279,163,162,422
137,leant,2803.7,716,1230,975,573,729,87,241,306,182,253
138,slade,2803.0000000000005,668,716,975,393,1230,365,200,306,69,422
139,terai,2802.25,729,1230,897,975,670,149,241,163,162,11
140,lacer,2800.8,716,975,475,1230,897,87,304,56,318,212
141,earls,2798.9500000000003,1230,975,897,716,668,72,304,163,162,36
142,peart,2798.75,365,1230,975,897,729,141,241,306,150,253
143,dater,2798.4,393,975,729,1230,897,111,304,111,318,212
144,blaer,2797.95,280,716,975,1230,897,173,200,306,318,212
145,tared,2796.6000000000004,729,975,897,1230,393,149,304,163,318,118
146,pater,2796.5,365,975,729,1230,897,141,304,111,318,212
147,steal,2796.1,668,729,1230,975,716,365,77,177,162,155
