Rank,Word,Score,Bonus Score,Pos1 Overall Freq,Pos1 Positional Freq,Pos2 Overall Freq,Pos2 Positional Freq,Pos3 Overall Freq,Pos3 Positional Freq,Pos4 Overall Freq,Pos4 Positional Freq,Pos5 Overall Freq,Pos5 Positional Freq
1,soare,3.9796591264872996,23.3169517033275,0.5328345802161264,0.6034912718204489,0.7880299251870324,0.7231920199501247,1.0,1.0,0.9172185430463576,1.0,0.46835443037974683,1.0
2,saine,3.817387533449008,23.283935860345004,0.5328345802161264,0.7880299251870324,0.5344970906068163,0.4538653366583541,1.0,1.0,1.0,0.8688524590163934,0.569620253164557,1.0
3,slate,3.7525553144620494,23.289685499627065,0.5328345802161264,0.572734829592685,0.7880299251870324,0.5835411471321695,1.0,1.0,0.6556291390728477,1.0,0.43354430379746833,1.0
4,slane,3.7424677959166415,23.297057136885464,0.5328345802161264,0.572734829592685,0.7880299251870324,0.4538653366583541,1.0,1.0,0.6556291390728477,1.0,0.569620253164557,1.0
5,sater,3.733008243639438,23.384521757454447,0.5328345802161264,0.7880299251870324,0.5835411471321695,1.0,0.7231920199501247,1.0,1.0,0.36065573770491804,1.0,0.501187648456057
6,saice,3.72701325816675,23.226924605504134,0.5328345802161264,0.7880299251870324,0.5344970906068163,0.372402327514547,1.0,1.0,1.0,0.8688524590163934,0.46835443037974683,1.0
7,saree,3.713247482386929,20.32929246436887,0.5328345802161264,0.7880299251870324,0.7231920199501247,1.0,1.0,1.0,1.0,0.5311475409836065,1.0,1.0
8,saner,3.7000472036165446,23.398739947305952,0.5328345802161264,0.7880299251870324,0.4538653366583541,1.0,0.7231920199501247,1.0,1.0,0.4459016393442623,1.0,0.501187648456057
9,salet,3.695556426807415,23.320416959820566,0.5328345802161264,0.7880299251870324,0.572734829592685,1.0,0.5835411471321695,1.0,1.0,0.3639344262295082,1.0,0.5985748218527316
10,roate,3.668678761439595,23.318796615561293,0.7231920199501247,0.6034912718204489,0.7880299251870324,0.5835411471321695,1.0,0.281767955801105,0.9172185430463576,1.0,0.43354430379746833,1.0
11,stare,3.667693180425302,23.448050964258602,0.5328345802161264,0.5835411471321695,0.7880299251870324,0.7231920199501247,1.0,1.0,0.24834437086092714,1.0,0.46835443037974683,1.0
12,slier,3.6613433471465475,23.325486091559323,0.5328345802161264,0.572734829592685,0.5344970906068163,1.0,0.7231920199501247,1.0,0.6556291390728477,0.8688524590163934,1.0,0.501187648456057
13,crate,3.639306782175993,23.322196848196242,0.372402327514547,0.7231920199501247,0.7880299251870324,0.5835411471321695,1.0,0.5386740331491713,0.8774834437086093,1.0,0.43354430379746833,1.0
14,raile,3.635776913868859,23.35947948571126,0.7231920199501247,0.7880299251870324,0.5344970906068163,0.572734829592685,1.0,0.281767955801105,1.0,0.8688524590163934,0.5063291139240507,1.0
15,crane,3.629219263630584,23.32956848545464,0.372402327514547,0.7231920199501247,0.7880299251870324,0.4538653366583541,1.0,0.5386740331491713,0.8774834437086093,1.0,0.569620253164557,1.0
16,raise,3.6266482324079545,23.354113787640674,0.7231920199501247,0.7880299251870324,0.5344970906068163,0.5328345802161264,1.0,0.281767955801105,1.0,0.8688524590163934,0.5348101265822784,1.0
17,arose,3.6190364428076363,23.379491789152663,0.7880299251870324,0.7231920199501247,0.6034912718204489,0.5328345802161264,1.0,0.3784530386740331,0.8774834437086093,0.7934426229508197,0.5348101265822784,1.0
18,arise,3.615024069369646,23.369324850382352,0.7880299251870324,0.7231920199501247,0.5344970906068163,0.5328345802161264,1.0,0.3784530386740331,0.8774834437086093,0.8688524590163934,0.5348101265822784,1.0
19,snare,3.6112721469163596,23.362075406498054,0.5328345802161264,0.4538653366583541,0.7880299251870324,0.7231920199501247,1.0,1.0,0.2814569536423841,1.0,0.46835443037974683,1.0
20,share,3.611168515267006,23.387049300270125,0.5328345802161264,0.29925187032418954,0.7880299251870324,0.7231920199501247,1.0,1.0,0.47019867549668876,1.0,0.46835443037974683,1.0
21,sorel,3.6041117996916467,23.325246283967406,0.5328345802161264,0.6034912718204489,0.7231920199501247,1.0,0.572734829592685,1.0,0.9172185430463576,0.5311475409836065,1.0,0.3657957244655582
22,stale,3.6020303333236474,23.41422806089547,0.5328345802161264,0.5835411471321695,0.7880299251870324,0.572734829592685,1.0,1.0,0.24834437086092714,1.0,0.5063291139240507,1.0
23,raine,3.598879705413205,23.36190030156683,0.7231920199501247,0.7880299251870324,0.5344970906068163,0.4538653366583541,1.0,0.281767955801105,1.0,0.8688524590163934,0.569620253164557,1.0
24,trace,3.594059736928073,23.275797519751524,0.5835411471321695,0.7231920199501247,0.7880299251870324,0.372402327514547,1.0,0.40331491712707185,0.8774834437086093,1.0,0.46835443037974683,1.0
25,coate,3.591352165406658,23.278310492864218,0.372402327514547,0.6034912718204489,0.7880299251870324,0.5835411471321695,1.0,0.5386740331491713,0.9172185430463576,1.0,0.43354430379746833,1.0
26,seare,3.5911164104297613,20.386347198679417,0.5328345802161264,1.0,0.7880299251870324,0.7231920199501247,1.0,1.0,0.7913907284768212,1.0,0.46835443037974683,1.0
27,soler,3.589792263848027,23.383615284828654,0.5328345802161264,0.6034912718204489,0.572734829592685,1.0,0.7231920199501247,1.0,0.9172185430463576,0.3639344262295082,1.0,0.501187648456057
28,saute,3.5851918256340882,23.26018355066878,0.5328345802161264,0.7880299251870324,0.3649210307564422,0.5835411471321695,1.0,1.0,1.0,0.5377049180327869,0.43354430379746833,1.0
29,tiare,3.5848674857678944,23.348049772780122,0.5835411471321695,0.5344970906068163,0.7880299251870324,0.7231920199501247,1.0,0.40331491712707185,0.6589403973509934,1.0,0.46835443037974683,1.0
30,soree,3.5744995674061686,20.29000822321825,0.5328345802161264,0.6034912718204489,0.7231920199501247,1.0,1.0,1.0,0.9172185430463576,0.5311475409836065,1.0,1.0
31,orate,3.5712399556878847,23.4485987954046,0.6034912718204489,0.7231920199501247,0.7880299251870324,0.5835411471321695,1.0,0.10497237569060773,0.8774834437086093,1.0,0.43354430379746833,1.0
32,stane,3.565133124867993,23.387890706816396,0.5328345802161264,0.5835411471321695,0.7880299251870324,0.4538653366583541,1.0,1.0,0.24834437086092714,1.0,0.569620253164557,1.0
33,ariel,3.560912725574229,23.347897891712563,0.7880299251870324,0.7231920199501247,0.5344970906068163,1.0,0.572734829592685,0.3784530386740331,0.8774834437086093,0.8688524590163934,1.0,0.3657957244655582
34,caret,3.5577193590746097,23.352932601762564,0.372402327514547,0.7880299251870324,0.7231920199501247,1.0,0.5835411471321695,0.5386740331491713,1.0,0.5311475409836065,1.0,0.5985748218527316
35,tarse,3.55635138297883,23.357340203838568,0.5835411471321695,0.7880299251870324,0.7231920199501247,0.5328345802161264,1.0,0.40331491712707185,1.0,0.5311475409836065,0.5348101265822784,1.0
36,sared,3.5556385356326743,23.397977924032805,0.5328345802161264,0.7880299251870324,0.7231920199501247,1.0,0.30423940149625933,1.0,1.0,0.5311475409836065,1.0,0.27790973871733965
37,shale,3.545505668165351,23.353226396906987,0.5328345802161264,0.29925187032418954,0.7880299251870324,0.572734829592685,1.0,1.0,0.47019867549668876,1.0,0.5063291139240507,1.0
38,prase,3.5358404977158027,23.348859194348666,0.2809642560266002,0.7231920199501247,0.7880299251870324,0.5328345802161264,1.0,0.3812154696132597,0.8774834437086093,1.0,0.5348101265822784,1.0
39,stoae,3.5259955568767865,23.282941071855493,0.5328345802161264,0.5835411471321695,0.6034912718204489,0.7880299251870324,1.0,1.0,0.24834437086092714,0.7934426229508197,0.5063291139240507,1.0
40,irate,3.524591498561823,23.444116586485148,0.5344970906068163,0.7231920199501247,0.7880299251870324,0.5835411471321695,1.0,0.0856353591160221,0.8774834437086093,1.0,0.43354430379746833,1.0
41,sacre,3.520959403731799,23.346828848306316,0.5328345802161264,0.7880299251870324,0.372402327514547,0.7231920199501247,1.0,1.0,1.0,0.18032786885245902,0.46835443037974683,1.0
42,prate,3.518159489266462,23.32465533463298,0.2809642560266002,0.7231920199501247,0.7880299251870324,0.5835411471321695,1.0,0.3812154696132597,0.8774834437086093,1.0,0.43354430379746833,1.0
43,carle,3.5102653158599866,23.329963697062585,0.372402327514547,0.7880299251870324,0.7231920199501247,0.572734829592685,1.0,0.5386740331491713,1.0,0.5311475409836065,0.5063291139240507,1.0
44,brane,3.5089897958635374,23.32802649905411,0.21030756442227763,0.7231920199501247,0.7880299251870324,0.4538653366583541,1.0,0.4696132596685083,0.8774834437086093,1.0,0.569620253164557,1.0
45,paire,3.5029658720280454,23.326025259913443,0.2809642560266002,0.7880299251870324,0.5344970906068163,0.7231920199501247,1.0,0.3812154696132597,1.0,0.8688524590163934,0.46835443037974683,1.0
46,carse,3.501136634399082,23.336362704874357,0.372402327514547,0.7880299251870324,0.7231920199501247,0.5328345802161264,1.0,0.5386740331491713,1.0,0.5311475409836065,0.5348101265822784,1.0
